species	state
Bryanthus_gmelinii	0
Kalmia_latifolia	0
Elliottia_racemosa	0
Bejaria_racemosa	0
Phyllodoce_breweri	0
Kalmiopsis_fragrans	0
Epigaea_asiatica	0
Rhodothamnus_chamaecistus	0
Cassiope_mertensiana	0
Diogenesia_racemosa	0
Sphyrospermum_campanulatum	0
Disterigma_utleyorum	0
Oreanthes_glanduliferus	0
Ceratostema_reginaldii	0
Macleania_coccoloboides	0
Thibaudia_inflata	0
Siphonandra_elliptica	0
Psammisia_mediobullata	0
Satyria_polyantha	0
Orthaea_madidiensis	0
Semiramisia_speciosa	0
Plutarchia_ecuadorensis	0
Polyclita_turbinata	0
Cavendishia_grandifolia	0
Demosthenesia_pearcei	0
Pellegrinia_hirsuta	0
Themistoclesia_costaricensis	0
Anthopterus_revolutus	0
Gonocalyx_costaricensis	0
Utleya_costaricensis	0
Symphysia_racemosa	0
Costera_endertii	0
Gaultheria_taiwaniana	0
Rigiolepis_lobbii	0
Agapetes_hosseana	0
Vaccinium_delavayi	0
Dimorphanthera_amoena	0
Paphia_stenantha	0
Notopora_schomburgkii	0
Gaylussacia_brachycera	0
Pernettya_prostrata	0
Diplycosia_acuminata	0
Tepuia_cardonae	0
Eubotrys_racemosa	0
Chamaedaphne_calyculata	0
Leucothoe_grayana	0
Andromeda_polifolia	0
Zenobia_pulverulenta	0
Pieris_cubensis	0
Agarista_populifolia	0
Craibiodendron_scleranthum	0
Lyonia_fruticosa	0
Oxydendrum_arboreum	0
Astroloma_pedicellatum	0
Leucopogon_juniperinus	0
Brachyloma_ericoides	0
Styphelia_conostephoides	0
Conostephium_minus	0
Stenanthera_pinifolia	0
Melichrus_erubescens	0
Monotoca_elliptica	0
Pentachondra_pumila	0
Leptecophylla_robusta	0
Agiortia_pedicellata	0
Acrothamnus_suaveolens	0
Lissanthe_rubicunda	0
Cyathopsis_albicans	0
Acrotriche_divaricata	0
Cyathodes_glauca	0
Lysinema_ciliatum	0
Richea_sprengelioides	0
Dracophyllum_milliganii	0
Sphenotoma_capitatum	0
Sprengelia_incarnata	0
Cosmelia_rubra	0
Andersonia_sprengelioides	0
Lebetanthus_myrsinites	0
Prionotes_cerinthoides	0
Pyrola_americana	0
Orthilia_secunda	0
Moneses_uniflora	0
Monotropa_uniflora	0
Chimaphila_umbellata	0
Comarostaphylis_diversifolia	0
Ornithostaphylos_oppositifolia	0
Arctostaphylos_bicolor	0
Arbutus_menziesii	0
Pleuricospora_fimbriolata	0
Hypopitys_monotropa	0
Monotropsis_odorata	0
Monotropastrum_humile	0
Enkianthus_chinensis	0
Clethra_scabra	0
Purdiaea_nutans	0
Cyrilla_racemiflora	0
Cliftonia_monophylla	0
Actinidia_hubeiensis	0
Actinidia_lijiangensis	0
Actinidia_lanceolata	0
Actinidia_sabiifolia	0
Actinidia_styracifolia	0
Actinidia_chrysantha	0
Actinidia_eriantha	0
Actinidia_suberifolia	0
Actinidia_latifolia	0
Actinidia_zhejiangensis	0
Actinidia_persicina	0
Actinidia_vitifolia	0
Actinidia_laevissima	0
Actinidia_venosa	0
Actinidia_pilosula	0
Actinidia_strigosa	0
Actinidia_cylindrica	0
Actinidia_farinosa	0
Actinidia_fortunatii	0
Actinidia_henryi	0
Actinidia_fulvicoma	0
Actinidia_liangguangensis	0
Actinidia_melliana	0
Actinidia_glaucocallosa	0
Actinidia_grandiflora	0
Actinidia_chinensis	0
Actinidia_callosa	0
Actinidia_rufa	0
Actinidia_hemsleyana	0
Actinidia_melanandra	0
Actinidia_arguta	0
Actinidia_rubricaulis	0
Actinidia_rudis	0
Actinidia_indochinensis	0
Actinidia_kolomikta	0
Actinidia_tetramera	0
Actinidia_polygama	0
Actinidia_valvata	0
Clematoclethra_scandens	0
Saurauia_pedunculata	0
Saurauia_oreophila	0
