species	state
309	Thunbergia_erecta	0
310	Mendoncia_cowanii	0
311	Elytraria_nodosa	0
312	Anisosepalum_lewallei	0
313	Saintpauliopsis_lebrunii	0
314	Avicennia_marina	0
315	Thomandersia_hensii	0
316	Proboscidea_parviflora	0
317	Martynia_annua	0
318	Holoregmia_viscida	0
319	Craniolaria_annua	0
320	Schlegelia_parviflora	0
321	Exarata_chocoensis	0
322	Amphitecna_gentryi	0
323	Spirotecoma_holguinensis	0
324	Crescentia_alata	0
325	Parmentiera_cereifera	0
326	Handroanthus_ochraceus	0
327	Sparattosperma_leucanthum	0
328	Roseodendron_donnell-smithii	0
329	Ekmanianthe_actinophylla	0
330	Zeyheria_montana	0
331	Godmania_aesculifolia	0
332	Cybistax_antisyphilitica	0
333	Tabebuia_striata	0
334	Phyllarthron_articulatum	0
335	Rhodocolea_racemosa	0
336	Colea_floribunda	0
337	Dolichandrone_spathacea	0
338	Kigelia_africana	0
339	Stereospermum_neuranthum	0
340	Fernandoa_madagascariensis	0
341	Newbouldia_laevis	0
342	Markhamia_lutea	0
343	Radermachera_frondosa	0
344	Rhigozum_obovatum	0
345	Catophractes_alexandri	0
346	Tecomella_undulata	0
347	Oroxylum_indicum	0
348	Millingtonia_hortensis	0
349	Tanaecium_dichotomum	0
350	Fridericia_patellifera	0
351	Xylophragma_myrianthum	0
352	Cuspidaria_convoluta	0
353	Tynanthus_panurensis	0
354	Lundia_corymbifera	0
355	Manaosella_cordifolia	0
356	Stizophyllum_perforatum	0
357	Anemopaegma_parkeri	0
358	Mansoa_verrucifera	0
359	Pyrostegia_venusta	0
360	Bignonia_capreolata	0
361	Amphilophium_bauhinioides	0
362	Adenocalymma_cymbalum	0
363	Martinella_obovata	0
364	Pleonotoma_jasminifolia	0
365	Dolichandra_unguis-cati	0
366	Perianthomega_vellozoi	0
367	Catalpa_macrocarpa	0
368	Chilopsis_linearis	0
369	Delostoma_lobbii	0
370	Incarvillea_semiretschenskia	0
371	Neosepicaea_jucunda	0
372	Tecomanthe_volubilis	0
373	Campsidium_valdivianum	0
374	Deplanchea_tetraphylla	0
375	Lamiodendron_magnificum	0
376	Podranea_ricasoliana	0
377	Campsis_radicans	0
378	Argylia_bustillosii	0
379	Eccremocarpus_scaber	0
380	Tourrettia_lappacea	0
381	Jacaranda_mimosifolia	0
382	Sesamum_prostratum	0
383	Dicerocaryum_eriocarpum	0
384	Josephinia_eugeniae	0
385	Sesamothamnus_lugardii	0
386	Pterodiscus_kellerianus	0
387	Pedalium_murex	0
388	Pedaliodiscus_macrocarpus	0
389	Harpagophytum_procumbens	0
390	Rogeria_longiflora	0
391	Uncarina_grandidieri	0
392	Holubia_saccata	0
393	Lantana_trifolia	0
394	Nashia_inaguensis	0
395	Lippia_sidoides	0
396	Phyla_lanceolata	0
397	Acantholippia_seriphioides	0
398	Aloysia_virgata	0
399	Xeroaloysia_ovatifolia	0
400	Coelocarpum_madagascariensis	0
401	Verbena_macdougalii	0
402	Stylodon_carneus	0
403	Hierobotana_inflata	0
404	Glandularia_aurantiaca	0
405	Junellia_tridactylites	0
406	Mulguraea_scoparia	0
407	Dipyrena_glaberrima	0
408	Lampaya_castellani	0
409	Neosparton_ephedroides	0
410	Pitraea_cuneato-ovata	0
411	Rhaphithamnus_spinosus	0
412	Citharexylum_dentatum	0
413	Stachytarpheta_amabilis	0
414	Rehdera_trinervis	0
415	Casselia_integrifolia	0
416	Tamonea_boxiana	0
417	Parodianthus_ilicifolius	0
418	Bouchea_linifolia	0
419	Chascanum_humbertii	0
420	Duranta_arida	0
421	Recordia_boliviana	0
422	Petrea_volubilis	0
423	Campylostachys_cernua	0
424	Retzia_capensis	0
425	Stilbe_rupestris	0
426	Euthystachys_abbreviata	0
427	Kogelbergia_verticillata	0
428	Nuxia_floribunda	0
429	Ixianthes_retzioides	0
430	Bowkeria_verticillata	0
431	Anastrabe_integerrima	0
432	Halleria_ovata	0
433	Charadrophila_capensis	0
434	Craterostigma_plantagineum	0
